event_id,marker_code,label,sample_index,time_sec,run_length_samples,gap_from_previous_sec,occurrence_index_within_label,pair_index,pair_role
1,1,LEFT,13213,52.852,1,,1,1,start
2,1,LEFT,13871,55.484,1,2.632,2,1,end
3,1,LEFT,15213,60.852,1,5.368,3,2,start
4,1,LEFT,15830,63.32,1,2.468,4,2,end
5,1,LEFT,17031,68.124,1,4.804,5,3,start
6,1,LEFT,17648,70.592,1,2.468,6,3,end
7,1,LEFT,18840,75.36,1,4.768,7,4,start
8,1,LEFT,19726,78.904,1,3.544,8,4,end
9,1,LEFT,21030,84.12,1,5.216,9,5,start
10,1,LEFT,22322,89.288,1,5.168,10,5,end
11,1,LEFT,23346,93.384,1,4.096,11,6,start
12,1,LEFT,24844,99.376,1,5.992,12,6,end
13,2,RIGHT,25510,102.04,1,2.664,1,1,start
14,2,RIGHT,26097,104.388,1,2.348,2,1,end
15,2,RIGHT,27525,110.1,1,5.712,3,2,start
16,2,RIGHT,28217,112.868,1,2.768,4,2,end
17,2,RIGHT,29495,117.98,1,5.112,5,3,start
18,2,RIGHT,30641,122.564,1,4.584,6,3,end
19,2,RIGHT,31772,127.088,1,4.524,7,4,start
20,2,RIGHT,33359,133.436,1,6.348,8,4,end
21,2,RIGHT,34237,136.948,1,3.512,9,5,start
22,2,RIGHT,35788,143.152,1,6.204,10,5,end
23,2,RIGHT,37072,148.288,1,5.136,11,6,start
24,2,RIGHT,38536,154.144,1,5.856,12,6,end
25,3,JAW,40305,161.22,1,7.076,1,1,start
26,3,JAW,41673,166.692,1,5.472,2,1,end
27,3,JAW,42937,171.748,1,5.056,3,2,start
28,3,JAW,43703,174.812,1,3.064,4,2,end
29,3,JAW,44984,179.936,1,5.124,5,3,start
30,3,JAW,46160,184.64,1,4.704,6,3,end
31,3,JAW,48463,193.852,1,9.212,7,4,start
32,3,JAW,49274,197.096,1,3.244,8,4,end
33,3,JAW,50498,201.992,1,4.896,9,5,start
34,3,JAW,52029,208.116,1,6.124,10,5,end
35,3,JAW,53267,213.068,1,4.952,11,6,start
36,3,JAW,54716,218.864,1,5.796,12,6,end
