trial_index_overall,label,marker_code,marker_pair_type,trial_index_within_label,expected_count,observed_count,count_match,count_error,count_filter_family,count_channels,start_sample,end_sample,start_time_sec,end_time_sec,duration_sec,gap_from_previous_trial_sec,detected_event_times_sec,count_basis,issues
1,LEFT,1,1->1,1,1,1,True,0,left_right,"Channel_1, Channel_3, Channel_7, Channel_8",13213,13871,52.852,55.484,2.632,,[53.772],family=left_right; smooth=75 samples; min_distance=0.75s; prominence>=0.038uV; ignore_peaks_before=0.10s,
2,LEFT,1,1->1,2,2,2,True,0,left_right,"Channel_1, Channel_3, Channel_7, Channel_8",15213,15830,60.852,63.32,2.468,5.368,"[61.956, 62.992]",family=left_right; smooth=75 samples; min_distance=0.75s; prominence>=0.029uV; ignore_peaks_before=0.10s,
3,LEFT,1,1->1,3,3,3,True,0,left_right,"Channel_1, Channel_3, Channel_7, Channel_8",17031,17648,68.124,70.592,2.468,4.804,"[68.812, 69.684, 70.536]",family=left_right; smooth=75 samples; min_distance=0.75s; prominence>=0.028uV; ignore_peaks_before=0.10s,
4,LEFT,1,1->1,4,4,2,False,-2,left_right,"Channel_1, Channel_3, Channel_7, Channel_8",18840,19726,75.36,78.904,3.544,4.768,"[76.268, 78.652]",family=left_right; smooth=75 samples; min_distance=0.75s; prominence>=0.051uV; ignore_peaks_before=0.10s,observed_count 2 vs expected_count 4
5,LEFT,1,1->1,5,5,2,False,-3,left_right,"Channel_1, Channel_3, Channel_7, Channel_8",21030,22322,84.12,89.288,5.168,5.216,"[86.364, 88.396]",family=left_right; smooth=75 samples; min_distance=0.75s; prominence>=0.127uV; ignore_peaks_before=0.10s,observed_count 2 vs expected_count 5
6,LEFT,1,1->1,6,6,5,False,-1,left_right,"Channel_1, Channel_3, Channel_7, Channel_8",23346,24844,93.384,99.376,5.992,4.096,"[93.772, 94.552, 95.416, 96.508, 98.144]",family=left_right; smooth=75 samples; min_distance=0.75s; prominence>=0.034uV; ignore_peaks_before=0.10s,observed_count 5 vs expected_count 6
7,RIGHT,2,2->2,1,1,1,True,0,left_right,"Channel_1, Channel_3, Channel_7, Channel_8",25510,26097,102.04,104.388,2.348,2.664,[102.684],family=left_right; smooth=75 samples; min_distance=0.75s; prominence>=3.164uV; ignore_peaks_before=0.10s,
8,RIGHT,2,2->2,2,2,1,False,-1,left_right,"Channel_1, Channel_3, Channel_7, Channel_8",27525,28217,110.1,112.868,2.768,5.712,[112.128],family=left_right; smooth=75 samples; min_distance=0.75s; prominence>=0.828uV; ignore_peaks_before=0.10s,observed_count 1 vs expected_count 2
9,RIGHT,2,2->2,3,3,3,True,0,left_right,"Channel_1, Channel_3, Channel_7, Channel_8",29495,30641,117.98,122.564,4.584,5.112,"[118.78, 120.472, 122.328]",family=left_right; smooth=75 samples; min_distance=0.75s; prominence>=0.046uV; ignore_peaks_before=0.10s,
10,RIGHT,2,2->2,4,4,4,True,0,left_right,"Channel_1, Channel_3, Channel_7, Channel_8",31772,33359,127.088,133.436,6.348,4.524,"[128.812, 130.26, 131.048, 132.308]",family=left_right; smooth=75 samples; min_distance=0.75s; prominence>=0.045uV; ignore_peaks_before=0.10s,
11,RIGHT,2,2->2,5,5,5,True,0,left_right,"Channel_1, Channel_3, Channel_7, Channel_8",34237,35788,136.948,143.152,6.204,3.512,"[137.536, 138.36, 139.728, 141.656, 142.568]",family=left_right; smooth=75 samples; min_distance=0.75s; prominence>=0.026uV; ignore_peaks_before=0.10s,
12,RIGHT,2,2->2,6,6,3,False,-3,left_right,"Channel_1, Channel_3, Channel_7, Channel_8",37072,38536,148.288,154.144,5.856,5.136,"[150.248, 151.616, 152.44]",family=left_right; smooth=75 samples; min_distance=0.75s; prominence>=0.056uV; ignore_peaks_before=0.10s,observed_count 3 vs expected_count 6
13,JAW,3,3->3,1,1,1,True,0,jaw,"Channel_1, Channel_3, Channel_7, Channel_8",40305,41673,161.22,166.692,5.472,7.076,[164.556],family=jaw; smooth=75 samples; min_distance=0.75s; prominence>=1.663uV; ignore_peaks_before=0.10s,
14,JAW,3,3->3,2,2,2,True,0,jaw,"Channel_1, Channel_3, Channel_7, Channel_8",42937,43703,171.748,174.812,3.064,5.056,"[172.396, 173.208]",family=jaw; smooth=75 samples; min_distance=0.75s; prominence>=0.120uV; ignore_peaks_before=0.10s,
15,JAW,3,3->3,3,3,3,True,0,jaw,"Channel_1, Channel_3, Channel_7, Channel_8",44984,46160,179.936,184.64,4.704,5.124,"[180.672, 182.024, 184.184]",family=jaw; smooth=75 samples; min_distance=0.75s; prominence>=0.138uV; ignore_peaks_before=0.10s,
16,JAW,3,3->3,4,4,2,False,-2,jaw,"Channel_1, Channel_3, Channel_7, Channel_8",48463,49274,193.852,197.096,3.244,9.212,"[194.888, 196.308]",family=jaw; smooth=75 samples; min_distance=0.75s; prominence>=0.124uV; ignore_peaks_before=0.10s,observed_count 2 vs expected_count 4
17,JAW,3,3->3,5,5,3,False,-2,jaw,"Channel_1, Channel_3, Channel_7, Channel_8",50498,52029,201.992,208.116,6.124,4.896,"[202.4, 203.18, 205.948]",family=jaw; smooth=75 samples; min_distance=0.75s; prominence>=0.082uV; ignore_peaks_before=0.10s,observed_count 3 vs expected_count 5
18,JAW,3,3->3,6,6,3,False,-3,jaw,"Channel_1, Channel_3, Channel_7, Channel_8",53267,54716,213.068,218.864,5.796,4.952,"[214.812, 216.684, 217.444]",family=jaw; smooth=75 samples; min_distance=0.75s; prominence>=0.115uV; ignore_peaks_before=0.10s,observed_count 3 vs expected_count 6
