feature_config,window_sec,model_name,train_file,test_file,train_samples,test_samples,feature_count,baseline_feature_count,spectral_feature_count,asymmetry_feature_count,train_class_counts,test_class_counts,accuracy,macro_f1,confusion_matrix_csv
baseline_time_0p50,0.5,LDA,LR-3-15-26-(04).csv,LR-2-27-26-(01).csv,232,143,46,46,0,0,"{""LEFT"": 114, ""RIGHT"": 118}","{""LEFT"": 69, ""RIGHT"": 74}",0.5524475524475524,0.5239284228048273,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/lr_event_classifier/outputs/second_pass/baseline_time_0p50/confusion_LR-3-15-26-04_to_LR-2-27-26-01_LDA.csv
baseline_time_0p50,0.5,LogisticRegression,LR-3-15-26-(04).csv,LR-2-27-26-(01).csv,232,143,46,46,0,0,"{""LEFT"": 114, ""RIGHT"": 118}","{""LEFT"": 69, ""RIGHT"": 74}",0.5804195804195804,0.5597290640394088,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/lr_event_classifier/outputs/second_pass/baseline_time_0p50/confusion_LR-3-15-26-04_to_LR-2-27-26-01_LogisticRegression.csv
baseline_time_0p50,0.5,LDA,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,143,232,46,46,0,0,"{""LEFT"": 69, ""RIGHT"": 74}","{""LEFT"": 114, ""RIGHT"": 118}",0.46551724137931033,0.4645223736132827,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/lr_event_classifier/outputs/second_pass/baseline_time_0p50/confusion_LR-2-27-26-01_to_LR-3-15-26-04_LDA.csv
baseline_time_0p50,0.5,LogisticRegression,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,143,232,46,46,0,0,"{""LEFT"": 69, ""RIGHT"": 74}","{""LEFT"": 114, ""RIGHT"": 118}",0.49137931034482757,0.4904325813416722,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/lr_event_classifier/outputs/second_pass/baseline_time_0p50/confusion_LR-2-27-26-01_to_LR-3-15-26-04_LogisticRegression.csv
baseline_time_0p50,0.5,LDA,__pooled_cross_session__,__pooled_cross_session__,375,375,46,46,0,0,"{""LEFT"": 183, ""RIGHT"": 192}","{""LEFT"": 183, ""RIGHT"": 192}",0.49866666666666665,0.49642857142857144,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/lr_event_classifier/outputs/second_pass/baseline_time_0p50/confusion_pooled_LDA.csv
baseline_time_0p50,0.5,LogisticRegression,__pooled_cross_session__,__pooled_cross_session__,375,375,46,46,0,0,"{""LEFT"": 183, ""RIGHT"": 192}","{""LEFT"": 183, ""RIGHT"": 192}",0.5253333333333333,0.5238400958739942,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/lr_event_classifier/outputs/second_pass/baseline_time_0p50/confusion_pooled_LogisticRegression.csv
baseline_plus_spectral_0p50,0.5,LDA,LR-3-15-26-(04).csv,LR-2-27-26-(01).csv,232,143,88,46,12,30,"{""LEFT"": 114, ""RIGHT"": 118}","{""LEFT"": 69, ""RIGHT"": 74}",0.5314685314685315,0.5067696267696268,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/lr_event_classifier/outputs/second_pass/baseline_plus_spectral_0p50/confusion_LR-3-15-26-04_to_LR-2-27-26-01_LDA.csv
baseline_plus_spectral_0p50,0.5,LogisticRegression,LR-3-15-26-(04).csv,LR-2-27-26-(01).csv,232,143,88,46,12,30,"{""LEFT"": 114, ""RIGHT"": 118}","{""LEFT"": 69, ""RIGHT"": 74}",0.5734265734265734,0.550939510939511,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/lr_event_classifier/outputs/second_pass/baseline_plus_spectral_0p50/confusion_LR-3-15-26-04_to_LR-2-27-26-01_LogisticRegression.csv
baseline_plus_spectral_0p50,0.5,LDA,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,143,232,88,46,12,30,"{""LEFT"": 69, ""RIGHT"": 74}","{""LEFT"": 114, ""RIGHT"": 118}",0.47413793103448276,0.47378597456681787,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/lr_event_classifier/outputs/second_pass/baseline_plus_spectral_0p50/confusion_LR-2-27-26-01_to_LR-3-15-26-04_LDA.csv
baseline_plus_spectral_0p50,0.5,LogisticRegression,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,143,232,88,46,12,30,"{""LEFT"": 69, ""RIGHT"": 74}","{""LEFT"": 114, ""RIGHT"": 118}",0.49137931034482757,0.49001490312965723,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/lr_event_classifier/outputs/second_pass/baseline_plus_spectral_0p50/confusion_LR-2-27-26-01_to_LR-3-15-26-04_LogisticRegression.csv
baseline_plus_spectral_0p50,0.5,LDA,__pooled_cross_session__,__pooled_cross_session__,375,375,88,46,12,30,"{""LEFT"": 183, ""RIGHT"": 192}","{""LEFT"": 183, ""RIGHT"": 192}",0.496,0.49356551315121944,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/lr_event_classifier/outputs/second_pass/baseline_plus_spectral_0p50/confusion_pooled_LDA.csv
baseline_plus_spectral_0p50,0.5,LogisticRegression,__pooled_cross_session__,__pooled_cross_session__,375,375,88,46,12,30,"{""LEFT"": 183, ""RIGHT"": 192}","{""LEFT"": 183, ""RIGHT"": 192}",0.5226666666666666,0.5213050454626493,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/lr_event_classifier/outputs/second_pass/baseline_plus_spectral_0p50/confusion_pooled_LogisticRegression.csv
baseline_plus_spectral_0p75,0.75,LDA,LR-3-15-26-(04).csv,LR-2-27-26-(01).csv,232,143,88,46,12,30,"{""LEFT"": 114, ""RIGHT"": 118}","{""LEFT"": 69, ""RIGHT"": 74}",0.5454545454545454,0.5025421461065025,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/lr_event_classifier/outputs/second_pass/baseline_plus_spectral_0p75/confusion_LR-3-15-26-04_to_LR-2-27-26-01_LDA.csv
baseline_plus_spectral_0p75,0.75,LogisticRegression,LR-3-15-26-(04).csv,LR-2-27-26-(01).csv,232,143,88,46,12,30,"{""LEFT"": 114, ""RIGHT"": 118}","{""LEFT"": 69, ""RIGHT"": 74}",0.5174825174825175,0.4617902143675339,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/lr_event_classifier/outputs/second_pass/baseline_plus_spectral_0p75/confusion_LR-3-15-26-04_to_LR-2-27-26-01_LogisticRegression.csv
