family,task_type,train_files,test_file,feature_mode,with_asymmetry,weak_active_policy,keep_fraction,keep_percent,model_name,selected_channels,feature_count,train_class_counts,test_class_counts,train_kept_active_windows,train_weaker_active_windows,test_kept_active_windows,test_weaker_active_windows,accuracy,macro_f1,active_precision,active_recall,active_to_rest_errors,rest_to_active_errors,confusion_matrix_csv
left_right,active_vs_rest_rms_refinement,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,combined,True,relabel_to_rest,0.3,30,LogisticRegression,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",78,"{'ACTIVE': 61, 'REST': 335}","{'ACTIVE': 116, 'REST': 569}",61,103,116,158,0.6759124087591241,0.5569055944055944,0.2523364485981308,0.46551724137931033,62,160,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_active_vs_rest_rms_refinement_keep_030_relabel_to_rest_LogisticRegression.csv
left_right,active_vs_rest_rms_refinement,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,combined,True,relabel_to_rest,0.3,30,LDA,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",78,"{'ACTIVE': 61, 'REST': 335}","{'ACTIVE': 116, 'REST': 569}",61,103,116,158,0.8248175182481752,0.5454947582607157,0.4375,0.1206896551724138,102,18,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_active_vs_rest_rms_refinement_keep_030_relabel_to_rest_LDA.csv
left_right,active_vs_rest_rms_refinement,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,combined,True,relabel_to_rest,0.3,30,RandomForest,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",78,"{'ACTIVE': 61, 'REST': 335}","{'ACTIVE': 116, 'REST': 569}",61,103,116,158,0.8306569343065694,0.45374800637958534,0.0,0.0,116,0,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_active_vs_rest_rms_refinement_keep_030_relabel_to_rest_RandomForest.csv
left_right,active_vs_rest_rms_refinement,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,combined,True,relabel_to_rest,0.4,40,LDA,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",78,"{'ACTIVE': 77, 'REST': 319}","{'ACTIVE': 118, 'REST': 567}",77,87,118,156,0.7941605839416058,0.5634004005044729,0.3333333333333333,0.19491525423728814,95,46,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_active_vs_rest_rms_refinement_keep_040_relabel_to_rest_LDA.csv
left_right,active_vs_rest_rms_refinement,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,combined,True,relabel_to_rest,0.4,40,LogisticRegression,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",78,"{'ACTIVE': 77, 'REST': 319}","{'ACTIVE': 118, 'REST': 567}",77,87,118,156,0.672992700729927,0.5601119214714921,0.2590909090909091,0.4830508474576271,61,163,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_active_vs_rest_rms_refinement_keep_040_relabel_to_rest_LogisticRegression.csv
left_right,active_vs_rest_rms_refinement,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,combined,True,relabel_to_rest,0.4,40,RandomForest,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",78,"{'ACTIVE': 77, 'REST': 319}","{'ACTIVE': 118, 'REST': 567}",77,87,118,156,0.8277372262773722,0.4528753993610224,0.0,0.0,118,0,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_active_vs_rest_rms_refinement_keep_040_relabel_to_rest_RandomForest.csv
left_right,active_vs_rest_rms_refinement,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,combined,True,relabel_to_rest,0.5,50,LDA,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",78,"{'ACTIVE': 86, 'REST': 310}","{'ACTIVE': 155, 'REST': 530}",86,78,155,119,0.7693430656934307,0.5872234935163997,0.48,0.23225806451612904,119,39,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_active_vs_rest_rms_refinement_keep_050_relabel_to_rest_LDA.csv
left_right,active_vs_rest_rms_refinement,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,combined,True,relabel_to_rest,0.5,50,LogisticRegression,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",78,"{'ACTIVE': 86, 'REST': 310}","{'ACTIVE': 155, 'REST': 530}",86,78,155,119,0.656934306569343,0.5714065108403068,0.32142857142857145,0.4645161290322581,83,152,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_active_vs_rest_rms_refinement_keep_050_relabel_to_rest_LogisticRegression.csv
left_right,active_vs_rest_rms_refinement,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,combined,True,relabel_to_rest,0.5,50,RandomForest,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",78,"{'ACTIVE': 86, 'REST': 310}","{'ACTIVE': 155, 'REST': 530}",86,78,155,119,0.7737226277372263,0.43621399176954734,0.0,0.0,155,0,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_active_vs_rest_rms_refinement_keep_050_relabel_to_rest_RandomForest.csv
left_right,active_vs_rest_rms_refinement,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,combined,True,relabel_to_rest,1.0,100,LDA,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",78,"{'ACTIVE': 164, 'REST': 232}","{'ACTIVE': 274, 'REST': 411}",164,0,274,0,0.6773722627737226,0.6313626080879362,0.6568047337278107,0.4051094890510949,163,58,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_active_vs_rest_rms_refinement_keep_100_relabel_to_rest_LDA.csv
left_right,active_vs_rest_rms_refinement,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,combined,True,relabel_to_rest,1.0,100,LogisticRegression,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",78,"{'ACTIVE': 164, 'REST': 232}","{'ACTIVE': 274, 'REST': 411}",164,0,274,0,0.6175182481751825,0.5927282464644263,0.5247933884297521,0.4635036496350365,147,115,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_active_vs_rest_rms_refinement_keep_100_relabel_to_rest_LogisticRegression.csv
left_right,active_vs_rest_rms_refinement,LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,combined,True,relabel_to_rest,1.0,100,RandomForest,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",78,"{'ACTIVE': 164, 'REST': 232}","{'ACTIVE': 274, 'REST': 411}",164,0,274,0,0.5795620437956205,0.36691312384473196,0.0,0.0,274,14,/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_active_vs_rest_rms_refinement_keep_100_relabel_to_rest_RandomForest.csv
