dataset,session_name,task,accuracy,macro_f1,precision,recall,notes,selected_channels,window_sec,overlap,train_class_counts,test_class_counts
EEG,LR-3-15-26-(04).csv,active_vs_rest,0.9029126213592233,0.8998541565386485,0.8944508009153318,0.9143629807692308,strong separation,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",2.0,0.5,"{'ACTIVE': 196, 'REST': 283}","{'ACTIVE': 78, 'REST': 128}"
EEG,LR-2-27-26-(01).csv,active_vs_rest,0.7563025210084033,0.7397632154437825,0.7857142857142857,0.7393162393162394,usable separation; rest dominates,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",2.0,0.5,"{'ACTIVE': 110, 'REST': 167}","{'ACTIVE': 54, 'REST': 65}"
EEG,LR-3-8-26-(03).csv,active_vs_rest,0.6886792452830188,0.40782122905027934,0.5,0.3443396226415094,weak separation; rest dominates,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",2.0,0.5,"{'ACTIVE': 125, 'REST': 121}",{'REST': 106}
EEG,LR-3-8-26-(02).csv,active_vs_rest,0.5727554179566563,0.40088709677419354,0.3920639219934995,0.44919683834778174,weak separation; rest dominates,"Channel_1, Channel_3, Channel_7, Channel_8",2.0,0.5,"{'ACTIVE': 144, 'REST': 609}","{'ACTIVE': 111, 'REST': 212}"
EEG,LR-3-15-26-(04).csv,left_vs_right,0.9634146341463414,0.9633655994043187,0.9639236732259988,0.963095238095238,strong separation,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",2.0,0.5,"{'LEFT': 101, 'RIGHT': 91}","{'LEFT': 40, 'RIGHT': 42}"
EEG,LR-3-8-26-(03).csv,left_vs_right,0.7297297297297297,0.7279411764705883,0.7740384615384616,0.7544642857142857,usable separation; directional bias,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",2.0,0.5,"{'LEFT': 49, 'RIGHT': 39}","{'LEFT': 16, 'RIGHT': 21}"
EEG,LR-3-8-26-(02).csv,left_vs_right,0.5194805194805194,0.45764325147534746,0.5962686567164179,0.5436991869918699,weak separation; directional bias,"Channel_1, Channel_3, Channel_7, Channel_8",2.0,0.5,"{'LEFT': 93, 'RIGHT': 85}","{'LEFT': 36, 'RIGHT': 41}"
EEG,LR-2-27-26-(01).csv,left_vs_right,0.4489795918367347,0.3630235917188252,0.5507246376811594,0.5119047619047619,weak separation; directional bias,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",2.0,0.5,"{'LEFT': 69, 'RIGHT': 46}","{'LEFT': 21, 'RIGHT': 28}"
EEG,LR-3-15-26-(04).csv,left_vs_right_vs_rest,0.8786407766990292,0.8490679885527236,0.8281203007518796,0.8814102564102564,usable separation,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",2.0,0.5,"{'LEFT': 102, 'REST': 283, 'RIGHT': 94}","{'LEFT': 39, 'REST': 128, 'RIGHT': 39}"
EEG,LR-2-27-26-(01).csv,left_vs_right_vs_rest,0.6554621848739496,0.4976657329598506,0.5210803689064559,0.5212454212454213,weak separation; rest dominates,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",2.0,0.5,"{'LEFT': 64, 'REST': 167, 'RIGHT': 46}","{'LEFT': 26, 'REST': 65, 'RIGHT': 28}"
