label,raw_label,start_time_sec,end_time_sec,start_sample,end_sample,segment_kind,segment_source
REST,BASELINE,0.0,45.146942138671875,0,11250,baseline,inferred_pre_first_active_gap
JAW,HOLD,45.15095520019531,53.895416259765625,11251,13430,movement1,marker_1_to_2
REST,REST,53.89942932128906,59.6180419921875,13431,14856,rest,inferred_between_active_gaps
JAW,REPEATED,59.62205505371094,68.32237243652344,14857,17025,movement2,marker_3_to_4
REST,REST,68.32638549804688,83.98936462402344,17026,20929,rest,inferred_between_active_gaps
JAW,HOLD,83.99337768554688,93.05487060546875,20930,23188,movement1,marker_1_to_2
REST,REST,93.05888366699219,98.78953552246094,23189,24617,rest,inferred_between_active_gaps
JAW,REPEATED,98.79354858398438,107.39353942871094,24618,26761,movement2,marker_3_to_4
REST,REST,107.39755249023438,123.41368103027344,26762,30753,rest,inferred_between_active_gaps
JAW,HOLD,123.41769409179688,132.1942596435547,30754,32941,movement1,marker_1_to_2
REST,REST,132.19827270507812,138.37838745117188,32942,34482,rest,inferred_between_active_gaps
JAW,REPEATED,138.3824005126953,147.3275146484375,34483,36712,movement2,marker_3_to_4
REST,REST,147.33152770996094,162.8660888671875,36713,40584,rest,inferred_between_active_gaps
JAW,HOLD,162.87010192871094,171.75100708007812,40585,42798,movement1,marker_1_to_2
REST,REST,171.75502014160156,177.281005859375,42799,44176,rest,inferred_between_active_gaps
JAW,REPEATED,177.28501892089844,186.1538848876953,44177,46387,movement2,marker_3_to_4
REST,REST,186.15789794921875,201.88107299804688,46388,50306,rest,inferred_between_active_gaps
JAW,HOLD,201.8850860595703,210.60546875,50307,52480,movement1,marker_1_to_2
REST,REST,210.60948181152344,216.38026428222656,52481,53919,rest,inferred_between_active_gaps
JAW,REPEATED,216.38427734375,224.86788940429688,53920,56034,movement2,marker_3_to_4
REST,REST,224.8719024658203,240.58303833007812,56035,59950,rest,inferred_between_active_gaps
JAW,HOLD,240.58705139160156,249.18704223632812,59951,62094,movement1,marker_1_to_2
REST,REST,249.19105529785156,254.6648712158203,62095,63459,rest,inferred_between_active_gaps
JAW,REPEATED,254.66888427734375,263.04815673828125,63460,65548,movement2,marker_3_to_4
REST,REST,263.0521697998047,279.0642852783203,65549,69539,rest,inferred_between_active_gaps
JAW,HOLD,279.06829833984375,287.2469177246094,69540,71578,movement1,marker_1_to_2
REST,REST,287.2509307861328,292.14686584472656,71579,72799,rest,inferred_between_active_gaps
JAW,REPEATED,292.15087890625,300.32147216796875,72800,74836,movement2,marker_3_to_4
REST,REST,300.3254852294922,315.82794189453125,74837,78700,rest,inferred_between_active_gaps
JAW,HOLD,315.8319549560547,324.126953125,78701,80768,movement1,marker_1_to_2
REST,REST,324.13096618652344,329.10716247558594,80769,82009,rest,inferred_between_active_gaps
JAW,REPEATED,329.1111755371094,337.2978210449219,82010,84050,movement2,marker_3_to_4
REST,REST,337.3018341064453,352.4230499267578,84051,87819,rest,inferred_between_active_gaps
JAW,HOLD,352.42706298828125,357.5075988769531,87820,89086,movement1,marker_1_to_2
REST,REST,357.51161193847656,391.739013671875,89087,97616,rest,inferred_between_active_gaps
JAW,HOLD,391.74302673339844,400.4915008544922,97617,99797,movement1,marker_1_to_2
REST,REST,400.4955139160156,405.77268981933594,99798,101113,rest,inferred_between_active_gaps
JAW,REPEATED,405.7767028808594,414.0636749267578,101114,103179,movement2,marker_3_to_4
REST,REST,414.06768798828125,421.23902893066406,103180,104967,rest,inferred_between_active_gaps
