sample_index,run_time_sec,Channel_1,Channel_3,Channel_4,Channel_6,Channel_7,Channel_8
0,0.0,-44131.217197,-42615.433647,-50602.158976,-49873.313293,-40295.210814,-41213.956918
1,0.0040130615234375,-44132.267729,-42616.014792,-50594.604086,-49875.369653,-40297.177767,-41215.588595
2,0.008026123046875,-44135.128753,-42617.065324,-50592.190098,-49878.141269,-40300.709343,-41216.661479
3,0.0120391845703125,0.0,0.0,0.0,0.0,0.0,0.0
4,0.01605224609375,-66293.776488,-62277.123305,-80439.547353,-69105.536533,-69986.821113,-33534.188096
5,0.0200653076171875,-66295.564627,-62256.738515,-80424.437573,-69088.683318,-69992.319643,-33528.533104
6,0.024078369140625,-66296.525752,-62262.70643,-80412.881722,-69071.919509,-69997.147619,-33529.985968
7,0.0280914306640625,-66299.878514,-62259.912462,-80417.888512,-69074.735829,-69996.857047,-33528.287235
8,0.0321044921875,-66296.928084,-62273.971709,-80425.979844,-69087.275158,-69986.485837,-33514.004471
9,0.0361175537109375,-66287.830924,-62256.067962,-80402.130533,-69070.220777,-69979.869721,-33503.74502
10,0.040130615234375,-66293.508267,-62264.136942,-80381.924556,-69049.50071,-69981.054363,-33505.577863
11,0.0441436767578125,-66290.110801,-62267.534407,-80397.459018,-69057.390876,-69967.531558,-33491.585671
12,0.04815673828125,-66287.987386,-62264.11459,-80422.112992,-69083.117733,-69952.332372,-33474.687752
13,0.0521697998046875,-66280.499551,-62268.98727,-80415.608634,-69080.547283,-69947.794968,-33467.557546
14,0.056182861328125,-66284.813438,-62289.394413,-80400.81178,-69063.559957,-69945.179814,-33463.109548
15,0.0601959228515625,-66295.184647,-62296.636378,-80404.678631,-69065.146931,-69947.504395,-33465.367075
16,0.064208984375,-66302.895999,-62287.695681,-80426.6951,-69083.810637,-69946.498566,-33463.51188
17,0.0682220458984375,-66301.264322,-62280.453715,-80425.756326,-69086.068164,-69939.770691,-33458.236868
18,0.072235107421875,-66307.075776,-62270.060154,-80417.35207,-69079.697916,-69930.986456,-33457.901592
19,0.0762481689453125,-66290.781354,-62259.130151,-80419.050803,-69084.369431,-69919.296493,-33465.188261
20,0.08026123046875,-66296.861028,-62252.938718,-80441.715472,-69110.990359,-69924.437395,-33484.746037
21,0.0842742919921875,-66318.005779,-62254.324526,-80448.108071,-69120.333388,-69943.972819,-33514.183285
22,0.088287353515625,-66318.631627,-62269.143733,-80451.68435,-69120.713368,-69948.242003,-33525.649729
23,0.0923004150390625,-66313.870706,-62272.541198,-80460.803862,-69127.977684,-69946.92325,-33524.018052
24,0.0963134765625,-66302.918351,-62271.2895,-80464.737769,-69137.343065,-69941.894107,-33518.363061
25,0.1003265380859375,-66302.560723,-62273.502323,-80469.543394,-69147.289592,-69940.754168,-33524.018052
26,0.104339599609375,-66301.063156,-62276.698622,-80451.661998,-69133.543269,-69942.83288,-33532.399956
27,0.1083526611328125,-66301.554895,-62280.923102,-80448.890382,-69127.307132,-69939.301305,-33534.031634
28,0.11236572265625,-66300.683177,-62279.224369,-80467.978772,-69145.210879,-69931.142918,-33532.131735
29,0.1163787841796875,-66303.074813,-62305.353559,-80480.316935,-69163.204034,-69927.298418,-33534.411613
30,0.120391845703125,-66304.013587,-62314.964809,-80461.921449,-69144.652086,-69926.471403,-33532.735232
31,0.1244049072265625,-66310.361482,-62298.983312,-80457.31699,-69128.849403,-69924.169174,-33526.543799
