dataset,session_name,task,accuracy,macro_f1,precision,recall,notes,selected_channels,excluded_channels,calibration_windows,window_sec,overlap,feature_mode,with_asymmetry,train_class_counts,test_class_counts,confusion_matrix_csv
EEG,LR-3-15-26-(04).csv,left_vs_all,0.9379157427937915,0.904414436235921,0.8893499912633234,0.9221769609700644,strong separation,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-3-15-26-(04).csv (rail fraction 0.9991) | Channel_5: unsafe in training sessions: LR-3-15-26-(04).csv (rail fraction 0.9959),89,1.0,0.5,combined,True,"{'ALL': 822, 'LEFT': 229}","{'ALL': 364, 'LEFT': 87}",/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_LR-3-15-26-04_csv_left_vs_all.csv
EEG,LR-2-27-26-(01).csv,left_vs_all,0.8023255813953488,0.6188627871274224,0.714986123959297,0.6027227722772277,mixed performance,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-2-27-26-(01).csv (rail fraction 0.1460) | Channel_5: unsafe in training sessions: LR-2-27-26-(01).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),89,1.0,0.5,combined,True,"{'ALL': 458, 'LEFT': 143}","{'ALL': 202, 'LEFT': 56}",/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_LR-2-27-26-01_csv_left_vs_all.csv
EEG,LR-3-8-26-(03).csv,left_vs_all,0.9868421052631579,0.4966887417218543,0.5,0.4934210526315789,weak separation; false triggers exceed hits; test missing LEFT,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-3-8-26-(03).csv (dominant exact value fraction 1.0000; rail fraction 1.0000) | Channel_5: unsafe in training sessions: LR-3-8-26-(03).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),89,1.0,0.5,combined,True,"{'ALL': 385, 'LEFT': 146}",{'ALL': 228},/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_LR-3-8-26-03_csv_left_vs_all.csv
EEG,LR-3-8-26-(02).csv,left_vs_all,0.7747489239598279,0.43654001616814875,0.40358744394618834,0.4753521126760563,weak separation; false triggers exceed hits,"Channel_1, Channel_3, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-3-8-26-(02).csv (rail fraction 0.9271) | Channel_4: unsafe in training sessions: LR-3-8-26-(02).csv (rail fraction 0.0604) | Channel_5: unsafe in training sessions: LR-3-8-26-(02).csv (rail fraction 0.9715) | Channel_6: unsafe in training sessions: LR-3-8-26-(02).csv (rail fraction 0.1665),89,1.0,0.5,combined,True,"{'ALL': 1452, 'LEFT': 175}","{'ALL': 568, 'LEFT': 129}",/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_LR-3-8-26-02_csv_left_vs_all.csv
EEG,LR-3-15-26-(04).csv,left_vs_right,0.9028571428571428,0.9028063641412656,0.9040728129910949,0.9030172413793103,strong separation,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-3-15-26-(04).csv (rail fraction 0.9991) | Channel_5: unsafe in training sessions: LR-3-15-26-(04).csv (rail fraction 0.9959),89,1.0,0.5,combined,True,"{'LEFT': 229, 'RIGHT': 210}","{'LEFT': 87, 'RIGHT': 88}",/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_LR-3-15-26-04_csv_left_vs_right.csv
EEG,LR-3-8-26-(02).csv,left_vs_right,0.5887096774193549,0.5817460317460317,0.5885164197446576,0.5844570386294052,mixed performance; directional bias,"Channel_1, Channel_3, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-3-8-26-(02).csv (rail fraction 0.9271) | Channel_4: unsafe in training sessions: LR-3-8-26-(02).csv (rail fraction 0.0604) | Channel_5: unsafe in training sessions: LR-3-8-26-(02).csv (rail fraction 0.9715) | Channel_6: unsafe in training sessions: LR-3-8-26-(02).csv (rail fraction 0.1665),89,1.0,0.5,combined,True,"{'LEFT': 175, 'RIGHT': 176}","{'LEFT': 129, 'RIGHT': 119}",/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_LR-3-8-26-02_csv_left_vs_right.csv
EEG,LR-2-27-26-(01).csv,left_vs_right,0.49572649572649574,0.4549545992893802,0.512768817204301,0.5083430913348946,weak separation; directional bias,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-2-27-26-(01).csv (rail fraction 0.1460) | Channel_5: unsafe in training sessions: LR-2-27-26-(01).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),89,1.0,0.5,combined,True,"{'LEFT': 143, 'RIGHT': 104}","{'LEFT': 56, 'RIGHT': 61}",/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_LR-2-27-26-01_csv_left_vs_right.csv
EEG,LR-3-8-26-(03).csv,left_vs_right,0.6666666666666666,0.4,0.5,0.3333333333333333,weak separation; test missing LEFT,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-3-8-26-(03).csv (dominant exact value fraction 1.0000; rail fraction 1.0000) | Channel_5: unsafe in training sessions: LR-3-8-26-(03).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),89,1.0,0.5,combined,True,"{'LEFT': 146, 'RIGHT': 127}",{'RIGHT': 6},/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_LR-3-8-26-03_csv_left_vs_right.csv
EEG,LR-3-15-26-(04).csv,right_vs_all,0.9312638580931264,0.894598364054431,0.8813704933310036,0.9099517906336088,strong separation,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-3-15-26-(04).csv (rail fraction 0.9991) | Channel_5: unsafe in training sessions: LR-3-15-26-(04).csv (rail fraction 0.9959),89,1.0,0.5,combined,True,"{'ALL': 841, 'RIGHT': 210}","{'ALL': 363, 'RIGHT': 88}",/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_LR-3-15-26-04_csv_right_vs_all.csv
EEG,LR-3-8-26-(03).csv,right_vs_all,0.9736842105263158,0.6932735426008969,0.7410714285714286,0.6621621621621622,mixed performance,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-3-8-26-(03).csv (dominant exact value fraction 1.0000; rail fraction 1.0000) | Channel_5: unsafe in training sessions: LR-3-8-26-(03).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),89,1.0,0.5,combined,True,"{'ALL': 404, 'RIGHT': 127}","{'ALL': 222, 'RIGHT': 6}",/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_LR-3-8-26-03_csv_right_vs_all.csv
