train_session,test_session,task,accuracy,macro_f1,notes,selected_channels,excluded_channels,train_calibration_windows,test_calibration_windows,train_class_counts,test_class_counts,confusion_matrix_csv
LR-2-27-26-(01).csv,LR-3-8-26-(02).csv,left_vs_all,0.8691910499139415,0.46500920810313073,weak separation,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-2-27-26-(01).csv (rail fraction 0.1460) | Channel_5: unsafe in training sessions: LR-2-27-26-(01).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),89,89,"{'ALL': 660, 'LEFT': 199}","{'ALL': 2020, 'LEFT': 304}",/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_cross_session_LR-2-27-26-01_csv_to_LR-3-8-26-02_csv_left_vs_all.csv
LR-3-8-26-(03).csv,LR-3-8-26-(02).csv,left_vs_all,0.8691910499139415,0.46500920810313073,weak separation,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-3-8-26-(03).csv (dominant exact value fraction 1.0000; rail fraction 1.0000) | Channel_5: unsafe in training sessions: LR-3-8-26-(03).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),89,89,"{'ALL': 613, 'LEFT': 146}","{'ALL': 2020, 'LEFT': 304}",/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_cross_session_LR-3-8-26-03_csv_to_LR-3-8-26-02_csv_left_vs_all.csv
LR-3-15-26-(04).csv,LR-3-8-26-(02).csv,left_vs_all,0.8661790017211703,0.46414572284989625,weak separation; false triggers exceed hits,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-3-15-26-(04).csv (rail fraction 0.9991) | Channel_5: unsafe in training sessions: LR-3-15-26-(04).csv (rail fraction 0.9959),89,89,"{'ALL': 1186, 'LEFT': 316}","{'ALL': 2020, 'LEFT': 304}",/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_cross_session_LR-3-15-26-04_csv_to_LR-3-8-26-02_csv_left_vs_all.csv
LR-2-27-26-(01).csv,LR-3-8-26-(03).csv,left_vs_all,0.8076416337285902,0.4467930029154519,weak separation,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-2-27-26-(01).csv (rail fraction 0.1460) | Channel_5: unsafe in training sessions: LR-2-27-26-(01).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),89,89,"{'ALL': 660, 'LEFT': 199}","{'ALL': 613, 'LEFT': 146}",/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_cross_session_LR-2-27-26-01_csv_to_LR-3-8-26-03_csv_left_vs_all.csv
LR-3-15-26-(04).csv,LR-3-8-26-(03).csv,left_vs_all,0.8076416337285902,0.4467930029154519,weak separation,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-3-15-26-(04).csv (rail fraction 0.9991) | Channel_5: unsafe in training sessions: LR-3-15-26-(04).csv (rail fraction 0.9959),89,89,"{'ALL': 1186, 'LEFT': 316}","{'ALL': 613, 'LEFT': 146}",/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_cross_session_LR-3-15-26-04_csv_to_LR-3-8-26-03_csv_left_vs_all.csv
LR-3-8-26-(02).csv,LR-3-8-26-(03).csv,left_vs_all,0.7944664031620553,0.44273127753303965,weak separation; false triggers exceed hits,"Channel_1, Channel_3, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-3-8-26-(02).csv (rail fraction 0.9271) | Channel_4: unsafe in training sessions: LR-3-8-26-(02).csv (rail fraction 0.0604) | Channel_5: unsafe in training sessions: LR-3-8-26-(02).csv (rail fraction 0.9715) | Channel_6: unsafe in training sessions: LR-3-8-26-(02).csv (rail fraction 0.1665),89,89,"{'ALL': 2020, 'LEFT': 304}","{'ALL': 613, 'LEFT': 146}",/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_cross_session_LR-3-8-26-02_csv_to_LR-3-8-26-03_csv_left_vs_all.csv
LR-2-27-26-(01).csv,LR-3-15-26-(04).csv,left_vs_all,0.7896138482023968,0.4412202380952381,weak separation,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-2-27-26-(01).csv (rail fraction 0.1460) | Channel_5: unsafe in training sessions: LR-2-27-26-(01).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),89,89,"{'ALL': 660, 'LEFT': 199}","{'ALL': 1186, 'LEFT': 316}",/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_cross_session_LR-2-27-26-01_csv_to_LR-3-15-26-04_csv_left_vs_all.csv
LR-3-8-26-(02).csv,LR-3-15-26-(04).csv,left_vs_all,0.7896138482023968,0.4412202380952381,weak separation,"Channel_1, Channel_3, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-3-8-26-(02).csv (rail fraction 0.9271) | Channel_4: unsafe in training sessions: LR-3-8-26-(02).csv (rail fraction 0.0604) | Channel_5: unsafe in training sessions: LR-3-8-26-(02).csv (rail fraction 0.9715) | Channel_6: unsafe in training sessions: LR-3-8-26-(02).csv (rail fraction 0.1665),89,89,"{'ALL': 2020, 'LEFT': 304}","{'ALL': 1186, 'LEFT': 316}",/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_cross_session_LR-3-8-26-02_csv_to_LR-3-15-26-04_csv_left_vs_all.csv
LR-3-8-26-(03).csv,LR-3-15-26-(04).csv,left_vs_all,0.7896138482023968,0.4412202380952381,weak separation,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-3-8-26-(03).csv (dominant exact value fraction 1.0000; rail fraction 1.0000) | Channel_5: unsafe in training sessions: LR-3-8-26-(03).csv (dominant exact value fraction 1.0000; rail fraction 1.0000),89,89,"{'ALL': 613, 'LEFT': 146}","{'ALL': 1186, 'LEFT': 316}",/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_cross_session_LR-3-8-26-03_csv_to_LR-3-15-26-04_csv_left_vs_all.csv
LR-3-8-26-(02).csv,LR-2-27-26-(01).csv,left_vs_all,0.7694994179278231,0.43978260869565217,weak separation,"Channel_1, Channel_3, Channel_7, Channel_8",Channel_2: unsafe in training sessions: LR-3-8-26-(02).csv (rail fraction 0.9271) | Channel_4: unsafe in training sessions: LR-3-8-26-(02).csv (rail fraction 0.0604) | Channel_5: unsafe in training sessions: LR-3-8-26-(02).csv (rail fraction 0.9715) | Channel_6: unsafe in training sessions: LR-3-8-26-(02).csv (rail fraction 0.1665),89,89,"{'ALL': 2020, 'LEFT': 304}","{'ALL': 660, 'LEFT': 199}",/Users/yanivnaggar/Desktop/Spring 2026/IS/BCI-project/analysis/outputs/confusion_cross_session_LR-3-8-26-02_csv_to_LR-2-27-26-01_csv_left_vs_all.csv
