label,raw_label,start_time_sec,end_time_sec,start_sample,end_sample,segment_kind,segment_source
REST,BASELINE,0.0,45.7059326171875,0,11392,baseline,inferred_pre_first_active_gap
LEFT,LEFT,45.70994472503662,57.32499694824219,11393,14288,movement1,marker_1_to_2
REST,REST,57.32900905609131,63.363219261169434,14289,15793,rest,inferred_between_active_gaps
RIGHT,RIGHT,63.367231369018555,71.8006820678711,15794,17896,movement2,marker_3_to_4
REST,REST,71.80469417572021,89.7949857711792,17897,22381,rest,inferred_between_active_gaps
LEFT,LEFT,89.79899787902832,98.5253324508667,22382,24557,movement1,marker_1_to_2
REST,REST,98.52934455871582,103.13925647735596,24558,25707,rest,inferred_between_active_gaps
RIGHT,RIGHT,103.14326858520508,111.67300987243652,25708,27834,movement2,marker_3_to_4
REST,REST,111.67702198028564,127.3603515625,27835,31744,rest,inferred_between_active_gaps
LEFT,LEFT,127.36436367034912,136.23112201690674,31745,33955,movement1,marker_1_to_2
REST,REST,136.23513412475586,141.36260795593262,33956,35234,rest,inferred_between_active_gaps
RIGHT,RIGHT,141.36662006378174,149.90839767456055,35235,37364,movement2,marker_3_to_4
REST,REST,149.91240978240967,165.40717029571533,37365,41227,rest,inferred_between_active_gaps
LEFT,LEFT,165.41118240356445,174.0532627105713,41228,43382,movement1,marker_1_to_2
REST,REST,174.0572748184204,179.55787467956543,43383,44754,rest,inferred_between_active_gaps
RIGHT,RIGHT,179.56188678741455,188.15983390808105,44755,46898,movement2,marker_3_to_4
REST,REST,188.16384601593018,203.630521774292,46899,50754,rest,inferred_between_active_gaps
LEFT,LEFT,203.6345338821411,212.30068683624268,50755,52915,movement1,marker_1_to_2
REST,REST,212.3046989440918,217.7651777267456,52916,54277,rest,inferred_between_active_gaps
RIGHT,RIGHT,217.76918983459473,226.1705436706543,54278,56372,movement2,marker_3_to_4
REST,REST,226.17455577850342,241.8458490371704,56373,60279,rest,inferred_between_active_gaps
LEFT,LEFT,241.84986114501953,250.52002620697021,60280,62441,movement1,marker_1_to_2
REST,REST,250.52403831481934,256.0326623916626,62442,63815,rest,inferred_between_active_gaps
RIGHT,RIGHT,256.0366744995117,264.891396522522,63816,66023,movement2,marker_3_to_4
REST,REST,264.8954086303711,280.61885929107666,66024,69943,rest,inferred_between_active_gaps
LEFT,LEFT,280.6228713989258,289.0563220977783,69944,72046,movement1,marker_1_to_2
REST,REST,289.06033420562744,294.6411762237549,72047,73438,rest,inferred_between_active_gaps
RIGHT,RIGHT,294.645188331604,303.3153533935547,73439,75600,movement2,marker_3_to_4
REST,REST,303.3193655014038,319.1992883682251,75601,79559,rest,inferred_between_active_gaps
LEFT,LEFT,319.2033004760742,327.4321336746216,79560,81611,movement1,marker_1_to_2
REST,REST,327.4361457824707,333.5786828994751,81612,83143,rest,inferred_between_active_gaps
RIGHT,RIGHT,333.5826950073242,342.0602788925171,83144,85257,movement2,marker_3_to_4
REST,REST,342.0642910003662,357.83588695526123,85258,89189,rest,inferred_between_active_gaps
LEFT,LEFT,357.83989906311035,366.49401569366455,89190,91347,movement1,marker_1_to_2
REST,REST,366.4980278015137,372.2995357513428,91348,92794,rest,inferred_between_active_gaps
RIGHT,RIGHT,372.3035478591919,380.85736179351807,92795,94927,movement2,marker_3_to_4
REST,REST,380.8613739013672,396.6088972091675,94928,98853,rest,inferred_between_active_gaps
LEFT,LEFT,396.6129093170166,405.339243888855,98854,101029,movement1,marker_1_to_2
REST,REST,405.3432559967041,412.04748821258545,101030,102701,rest,inferred_between_active_gaps
RIGHT,RIGHT,412.05150032043457,420.7698106765747,102702,104875,movement2,marker_3_to_4
REST,REST,420.7738227844238,473.75370693206787,104876,118081,rest,inferred_between_active_gaps
LEFT,LEFT,473.757719039917,482.50010204315186,118082,120261,movement1,marker_1_to_2
REST,REST,482.504114151001,488.22136783599854,120262,121687,rest,inferred_between_active_gaps
RIGHT,RIGHT,488.22537994384766,496.9236297607422,121688,123856,movement2,marker_3_to_4
REST,REST,496.9276418685913,512.5868988037109,123857,127760,rest,inferred_between_active_gaps
LEFT,LEFT,512.5909109115601,521.6502504348755,127761,130019,movement1,marker_1_to_2
REST,REST,521.6542625427246,527.3835525512695,130020,131448,rest,inferred_between_active_gaps
RIGHT,RIGHT,527.3875646591187,535.9855117797852,131449,133592,movement2,marker_3_to_4
REST,REST,535.9895238876343,552.0018463134766,133593,137584,rest,inferred_between_active_gaps
LEFT,LEFT,552.0058584213257,560.7803382873535,137585,139772,movement1,marker_1_to_2
REST,REST,560.7843503952026,566.9629964828491,139773,141313,rest,inferred_between_active_gaps
RIGHT,RIGHT,566.9670085906982,575.9099969863892,141314,143543,movement2,marker_3_to_4
REST,REST,575.9140090942383,591.444878578186,143544,147415,rest,inferred_between_active_gaps
LEFT,LEFT,591.4488906860352,600.3276853561401,147416,149629,movement1,marker_1_to_2
REST,REST,600.3316974639893,605.856369972229,149630,151007,rest,inferred_between_active_gaps
RIGHT,RIGHT,605.8603820800781,614.7271404266357,151008,153218,movement2,marker_3_to_4
REST,REST,614.7311525344849,630.4505910873413,153219,157137,rest,inferred_between_active_gaps
LEFT,LEFT,630.4546031951904,639.1729135513306,157138,159311,movement1,marker_1_to_2
REST,REST,639.1769256591797,644.9463367462158,159312,160750,rest,inferred_between_active_gaps
RIGHT,RIGHT,644.9503488540649,653.4319448471069,160751,162865,movement2,marker_3_to_4
REST,REST,653.435956954956,669.1433591842651,162866,166781,rest,inferred_between_active_gaps
LEFT,LEFT,669.1473712921143,677.7453184127808,166782,168925,movement1,marker_1_to_2
REST,REST,677.7493305206299,683.221845626831,168926,170290,rest,inferred_between_active_gaps
RIGHT,RIGHT,683.2258577346802,691.603138923645,170291,172379,movement2,marker_3_to_4
