family,filename,file_path,parsed_date,session_rank,label,segment_kind,segment_source,segment_context,start_sample,end_sample,expected_duration_sec,segment_index,start_time_sec,end_time_sec,duration_sec,duration_error_sec
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,BASELINE,baseline,inferred_pre_first_active_gap,start_to_first_active,0,11362,45.0,0,0.0,45.582860469818115,45.58687233924866,0.5868723392486572
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,HOLD,movement1,marker_1_to_2,,11363,13406,8.0,1,45.58687233924866,53.78312158584595,8.200261116027832,0.20026111602783203
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,REST,rest,inferred_between_active_gaps,movement1_to_movement2,13407,14782,5.0,2,53.78713345527649,59.30345392227173,5.520332336425781,0.5203323364257812
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,REPEATED,movement2,marker_3_to_4,,14783,16789,8.0,3,59.30746579170227,67.3552758693695,8.051821947097778,0.05182194709777832
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,REST,rest,inferred_between_active_gaps,movement2_to_movement1,16790,20726,15.0,4,67.35928773880005,83.15000581741333,15.794729948043825,0.794729948043825
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,HOLD,movement1,marker_1_to_2,,20727,22828,8.0,5,83.15401768684387,91.5829553604126,8.432949542999268,0.4329495429992676
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,REST,rest,inferred_between_active_gaps,movement1_to_movement2,22829,24214,5.0,6,91.58696722984314,97.1434063911438,5.560451030731201,0.5604510307312012
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,REPEATED,movement2,marker_3_to_4,,24215,26241,8.0,7,97.14741826057434,105.27546572685242,8.132059335708618,0.13205933570861816
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,REST,rest,inferred_between_active_gaps,movement2_to_movement1,26242,30105,15.0,8,105.27947759628296,120.77732920646667,15.501863479614258,0.5018634796142578
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,HOLD,movement1,marker_1_to_2,,30106,32136,8.0,9,120.78134107589722,128.92543601989746,8.148106813430786,0.14810681343078613
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,REST,rest,inferred_between_active_gaps,movement1_to_movement2,32137,33437,5.0,10,128.929447889328,134.1448781490326,5.219442129135132,0.21944212913513184
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,REPEATED,movement2,marker_3_to_4,,33438,35561,8.0,11,134.14889001846313,142.66608881950378,8.521210670471191,0.5212106704711914
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,REST,rest,inferred_between_active_gaps,movement2_to_movement1,35562,39599,15.0,12,142.67010068893433,158.86601758003235,16.199928760528564,1.1999287605285645
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,HOLD,movement1,marker_1_to_2,,39600,41666,8.0,13,158.8700294494629,167.15855169296265,8.292534112930298,0.29253411293029785
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,REST,rest,inferred_between_active_gaps,movement1_to_movement2,41667,43036,5.0,14,167.1625635623932,172.65481281280518,5.496261119842529,0.4962611198425293
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,REPEATED,movement2,marker_3_to_4,,43037,45150,8.0,15,172.65882468223572,181.13590478897095,8.481091976165771,0.4810919761657715
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,REST,rest,inferred_between_active_gaps,movement2_to_movement1,45151,49186,15.0,16,181.1399166584015,197.32780981063843,16.19190502166748,1.1919050216674805
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,HOLD,movement1,marker_1_to_2,,49187,51451,8.0,17,197.33182168006897,206.41469407081604,9.086884260177612,1.0868842601776123
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,REST,rest,inferred_between_active_gaps,movement1_to_movement2,51452,52751,5.0,18,206.41870594024658,211.63012433052063,5.21543025970459,0.21543025970458984
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,REPEATED,movement2,marker_3_to_4,,52752,54947,8.0,19,211.63413619995117,220.44018959999084,8.810065269470215,0.8100652694702148
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,REST,rest,inferred_between_active_gaps,movement2_to_movement1,54948,59214,15.0,20,220.4442014694214,237.55883646011353,17.11864686012268,2.1186468601226807
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,HOLD,movement1,marker_1_to_2,,59215,61273,8.0,21,237.56284832954407,245.8192756175995,8.260439157485962,0.2604391574859619
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,REST,rest,inferred_between_active_gaps,movement1_to_movement2,61274,62715,5.0,22,245.82328748703003,251.60439133644107,5.785115718841553,0.7851157188415527
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,REPEATED,movement2,marker_3_to_4,,62716,65010,8.0,23,251.6084032058716,260.8116316795349,9.207240343093872,1.207240343093872
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,REST,rest,inferred_between_active_gaps,movement2_to_movement2,65011,72522,,24,260.81564354896545,290.94879484176636,30.137163162231445,
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,REPEATED,movement2,marker_3_to_4,,72523,74696,8.0,25,290.9528067111969,299.67059898376465,8.721804141998291,0.721804141998291
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,REST,rest,inferred_between_active_gaps,movement2_to_movement1,74697,79588,15.0,26,299.6746108531952,319.2966642379761,19.626065254211426,4.626065254211426
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,HOLD,movement1,marker_1_to_2,,79589,81869,8.0,27,319.3006761074066,328.44773840904236,9.151074171066284,1.1510741710662842
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,REST,rest,inferred_between_active_gaps,movement1_to_movement2,81870,83089,5.0,28,328.4517502784729,333.3422191143036,4.8944807052612305,-0.10551929473876953
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,REPEATED,movement2,marker_3_to_4,,83090,85601,8.0,29,333.34623098373413,343.4200351238251,10.077816009521484,2.0778160095214844
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,REST,rest,inferred_between_active_gaps,movement2_to_movement1,85602,89870,15.0,30,343.4240469932556,360.54670572280884,17.126670598983765,2.1266705989837646
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,HOLD,movement1,marker_1_to_2,,89871,91997,8.0,31,360.5507175922394,369.07995200157166,8.533246278762817,0.5332462787628174
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,REST,rest,inferred_between_active_gaps,movement1_to_movement2,91998,93457,5.0,32,369.0839638710022,374.93728137016296,5.857329368591309,0.8573293685913086
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,REPEATED,movement2,marker_3_to_4,,93458,95677,8.0,33,374.9412932395935,383.8436315059662,8.906350135803223,0.9063501358032227
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,REST,rest,inferred_between_active_gaps,movement2_to_movement1,95678,99672,15.0,34,383.84764337539673,399.87104988098145,16.02741837501526,1.0274183750152588
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,HOLD,movement1,marker_1_to_2,,99673,101761,8.0,35,399.875061750412,408.25184512138367,8.380795240402222,0.3807952404022217
jaw,HR-2-27-26-(01).csv,/Users/yanivnaggar/Desktop/Spring 2026/IS/OPENBCI_runs/Yaniv/EMG_JvsN/HR-2-27-26-(01).csv,2026-02-27,1,REST,rest,inferred_between_active_gaps,movement1_to_movement2,101762,103103,5.0,36,408.2558569908142,413.635773897171,5.3839287757873535,0.3839287757873535
