event_id,marker_code,label,sample_index,time_sec,run_length_samples,gap_from_previous_sec,occurrence_index_within_label,pair_index,pair_role
1,1,LEFT,11678,46.712,1,,1,1,start
2,1,LEFT,12071,48.284,1,1.572,2,1,end
3,1,LEFT,13052,52.208,1,3.924,3,2,start
4,1,LEFT,13592,54.368,1,2.16,4,2,end
5,1,LEFT,14419,57.676,1,3.308,5,3,start
6,1,LEFT,15160,60.64,1,2.964,6,3,end
7,1,LEFT,16071,64.284,1,3.644,7,4,start
8,1,LEFT,17077,68.308,1,4.024,8,4,end
9,1,LEFT,18322,73.288,1,4.98,9,5,start
10,1,LEFT,19512,78.048,1,4.76,10,5,end
11,1,LEFT,20640,82.56,1,4.512,11,6,start
12,1,LEFT,21885,87.54,1,4.98,12,6,end
13,2,RIGHT,22945,91.78,1,4.24,1,1,start
14,2,RIGHT,23336,93.344,1,1.564,2,1,end
15,2,RIGHT,24251,97.004,1,3.66,3,2,start
16,2,RIGHT,24807,99.228,1,2.224,4,2,end
17,2,RIGHT,25672,102.688,1,3.46,5,3,start
18,2,RIGHT,26363,105.452,1,2.764,6,3,end
19,2,RIGHT,27192,108.768,1,3.316,7,4,start
20,2,RIGHT,28137,112.548,1,3.78,8,4,end
21,2,RIGHT,29234,116.936,1,4.388,9,5,start
22,2,RIGHT,30522,122.088,1,5.152,10,5,end
23,2,RIGHT,31542,126.168,1,4.08,11,6,start
24,2,RIGHT,33293,133.172,1,7.004,12,6,end
25,3,JAW,34461,137.844,1,4.672,1,1,start
26,3,JAW,34855,139.42,1,1.576,2,1,end
27,3,JAW,35866,143.464,1,4.044,3,2,start
28,3,JAW,36383,145.532,1,2.068,4,2,end
29,3,JAW,37259,149.036,1,3.504,5,3,start
30,3,JAW,37972,151.888,1,2.852,6,3,end
31,3,JAW,39001,156.004,1,4.116,7,4,start
32,3,JAW,40042,160.168,1,4.164,8,4,end
33,3,JAW,40933,163.732,1,3.564,9,5,start
34,3,JAW,42164,168.656,1,4.924,10,5,end
35,3,JAW,42986,171.944,1,3.288,11,6,start
36,3,JAW,44334,177.336,1,5.392,12,6,end
