trial_index_overall,label,marker_code,marker_pair_type,trial_index_within_label,expected_count,observed_count,count_match,count_error,count_filter_family,count_channels,start_sample,end_sample,start_time_sec,end_time_sec,duration_sec,gap_from_previous_trial_sec,detected_event_times_sec,count_basis,issues
1,LEFT,1,1->1,1,1,1,True,0,left_right,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",11678,12071,46.712,48.284,1.572,,[47.552],family=left_right; smooth=75 samples; min_distance=0.75s; prominence>=0.025uV; ignore_peaks_before=0.10s,
2,LEFT,1,1->1,2,2,1,False,-1,left_right,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",13052,13592,52.208,54.368,2.16,3.924,[53.696],family=left_right; smooth=75 samples; min_distance=0.75s; prominence>=0.066uV; ignore_peaks_before=0.10s,observed_count 1 vs expected_count 2
3,LEFT,1,1->1,3,3,3,True,0,left_right,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",14419,15160,57.676,60.64,2.964,3.308,"[58.372, 59.264, 60.084]",family=left_right; smooth=75 samples; min_distance=0.75s; prominence>=0.046uV; ignore_peaks_before=0.10s,
4,LEFT,1,1->1,4,4,2,False,-2,left_right,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",16071,17077,64.284,68.308,4.024,3.644,"[66.796, 67.756]",family=left_right; smooth=75 samples; min_distance=0.75s; prominence>=0.055uV; ignore_peaks_before=0.10s,observed_count 2 vs expected_count 4
5,LEFT,1,1->1,5,5,4,False,-1,left_right,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",18322,19512,73.288,78.048,4.76,4.98,"[74.94, 75.824, 76.616, 77.452]",family=left_right; smooth=75 samples; min_distance=0.75s; prominence>=0.081uV; ignore_peaks_before=0.10s,observed_count 4 vs expected_count 5
6,LEFT,1,1->1,6,6,3,False,-3,left_right,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",20640,21885,82.56,87.54,4.98,4.512,"[83.872, 85.152, 86.344]",family=left_right; smooth=75 samples; min_distance=0.75s; prominence>=0.045uV; ignore_peaks_before=0.10s,observed_count 3 vs expected_count 6
7,RIGHT,2,2->2,1,1,1,True,0,left_right,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",22945,23336,91.78,93.344,1.564,4.24,[92.756],family=left_right; smooth=75 samples; min_distance=0.75s; prominence>=0.029uV; ignore_peaks_before=0.10s,
8,RIGHT,2,2->2,2,2,2,True,0,left_right,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",24251,24807,97.004,99.228,2.224,3.66,"[97.816, 98.584]",family=left_right; smooth=75 samples; min_distance=0.75s; prominence>=0.039uV; ignore_peaks_before=0.10s,
9,RIGHT,2,2->2,3,3,2,False,-1,left_right,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",25672,26363,102.688,105.452,2.764,3.46,"[104.112, 105.004]",family=left_right; smooth=75 samples; min_distance=0.75s; prominence>=0.060uV; ignore_peaks_before=0.10s,observed_count 2 vs expected_count 3
10,RIGHT,2,2->2,4,4,3,False,-1,left_right,"Channel_1, Channel_3, Channel_4, Channel_6, Channel_7, Channel_8",27192,28137,108.768,112.548,3.78,3.316,"[110.2, 111.124, 112.068]",family=left_right; smooth=75 samples; min_distance=0.75s; prominence>=0.078uV; ignore_peaks_before=0.10s,observed_count 3 vs expected_count 4
