threshold,coverage,accuracy_all,accuracy_decided,macro_f1
0.0,1.0,0.4408988764044944,0.4408988764044944,0.44062264067149265
0.01,0.667765293383271,0.24439450686641698,0.3659886329644032,0.2906713020522214
0.02,0.508414481897628,0.159250936329588,0.31323052745309893,0.20706707719897632
0.03,0.3550561797752809,0.09343320848938827,0.26315049226441634,0.1358955404789884
0.04,0.25138576779026217,0.06846441947565543,0.2723480333730632,0.11212845229067156
0.05,0.19016229712858926,0.03385767790262172,0.17804621848739496,0.06017442095810597
0.06,0.14591760299625467,0.017677902621722846,0.12114989733059549,0.0337657382678367
0.07,0.13473158551810238,0.01383270911360799,0.10266864343958487,0.02692457231726283
0.08,0.12664169787765292,0.009138576779026217,0.0721608832807571,0.017951736315479694
0.09,0.06916354556803996,0.002846441947565543,0.04115523465703971,0.00566150178784267
0.1,0.0,0.0,0.0,0.0
0.11,0.0,0.0,0.0,0.0
0.12,0.0,0.0,0.0,0.0
0.13,0.0,0.0,0.0,0.0
0.14,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0
0.16,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.0,0.0
0.18,0.0,0.0,0.0,0.0
0.19,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0
0.21,0.0,0.0,0.0,0.0
0.22,0.0,0.0,0.0,0.0
0.23,0.0,0.0,0.0,0.0
0.24,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0
0.26,0.0,0.0,0.0,0.0
0.27,0.0,0.0,0.0,0.0
0.28,0.0,0.0,0.0,0.0
0.29,0.0,0.0,0.0,0.0
0.3,0.0,0.0,0.0,0.0
0.31,0.0,0.0,0.0,0.0
0.32,0.0,0.0,0.0,0.0
0.33,0.0,0.0,0.0,0.0
0.34,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0
0.36,0.0,0.0,0.0,0.0
0.37,0.0,0.0,0.0,0.0
0.38,0.0,0.0,0.0,0.0
0.39,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0
0.41,0.0,0.0,0.0,0.0
0.42,0.0,0.0,0.0,0.0
0.43,0.0,0.0,0.0,0.0
0.44,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0
0.46,0.0,0.0,0.0,0.0
0.47,0.0,0.0,0.0,0.0
0.48,0.0,0.0,0.0,0.0
0.49,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.51,0.0,0.0,0.0,0.0
0.52,0.0,0.0,0.0,0.0
0.53,0.0,0.0,0.0,0.0
0.54,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0
0.56,0.0,0.0,0.0,0.0
0.57,0.0,0.0,0.0,0.0
0.58,0.0,0.0,0.0,0.0
0.59,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0
0.61,0.0,0.0,0.0,0.0
0.62,0.0,0.0,0.0,0.0
0.63,0.0,0.0,0.0,0.0
0.64,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0
0.66,0.0,0.0,0.0,0.0
0.67,0.0,0.0,0.0,0.0
0.68,0.0,0.0,0.0,0.0
0.69,0.0,0.0,0.0,0.0
0.7,0.0,0.0,0.0,0.0
0.71,0.0,0.0,0.0,0.0
0.72,0.0,0.0,0.0,0.0
0.73,0.0,0.0,0.0,0.0
0.74,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0
0.76,0.0,0.0,0.0,0.0
0.77,0.0,0.0,0.0,0.0
0.78,0.0,0.0,0.0,0.0
0.79,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.81,0.0,0.0,0.0,0.0
0.82,0.0,0.0,0.0,0.0
0.83,0.0,0.0,0.0,0.0
0.84,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0
0.86,0.0,0.0,0.0,0.0
0.87,0.0,0.0,0.0,0.0
0.88,0.0,0.0,0.0,0.0
0.89,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
0.91,0.0,0.0,0.0,0.0
0.92,0.0,0.0,0.0,0.0
0.93,0.0,0.0,0.0,0.0
0.94,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0.0,0.0
0.96,0.0,0.0,0.0,0.0
0.97,0.0,0.0,0.0,0.0
0.98,0.0,0.0,0.0,0.0
0.99,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
