mode,channel,mean,median,std,min,max,iqr,mad,abs_p95,abs_p99,skew,trend_slope_per_sec,median_first_decile,median_last_decile,median_drift,raw_fraction_near_nominal_rail,flag_suspicious_saturation,flag_near_constant,flag_unusually_noisy,flag_extreme_skew,flag_large_drift
raw,ch1,-76905.91299202606,-77960.89535485451,3888.014255856677,-82499.70763918252,-69517.70270081791,3564.387984798901,1789.4583093474212,81775.24289789711,82110.27990106106,0.7563022920536803,33.32115593978807,-81775.26524964157,-69956.29980639217,11818.965443249399,0.0,False,False,False,False,True
raw,ch2,-85843.81721853965,-86129.64211459662,5068.779954887056,-95416.2219662931,-75108.76805886842,8995.76130458848,4351.091158520125,93501.20832040411,94791.860630138,0.07731968415038998,44.17101396555064,-92708.03990459918,-79762.31184748553,12945.72805711365,0.0,False,False,False,False,True
raw,ch3,-76503.68604067124,-76286.51500183523,2261.0754090156206,-80951.46935599677,-71294.01818442561,3843.4551022595406,1896.422582438303,80415.82656393368,80654.74994835258,-0.20238824145972772,20.040703589295383,-80415.84332774201,-73907.1718045678,6508.671523174213,0.0,False,False,False,False,True
raw,ch4,-85774.87578230575,-85317.86028359656,3694.4461067698758,-93573.52180165311,-79588.61644132333,,,92328.05577851008,93008.97485124767,-0.27393916001348717,,-92328.19435932569,-80324.43586879205,12003.75849053364,0.0,False,False,False,False,True
raw,ch5,-187432.34448157458,-187500.02235174447,1136.3910708502106,-187500.02235174447,-158476.88567362854,,,187500.02235174447,187500.02235174447,19.00868493600781,,-187500.02235174447,-187500.02235174447,0.0,0.9955448360120489,True,False,False,True,False
raw,ch6,-86482.49930704705,-86686.79287276184,3288.6290998852173,-92242.98950946207,-79901.49616020873,,,91543.48272603547,91897.52362937017,0.0863373638185922,,-91543.50284260546,-81862.95114313974,9680.551699465723,0.0,False,False,False,False,True
raw,ch7,-49927.23348602409,-52205.069625982,6834.056543847033,-57730.174986144906,-35760.08656741221,,,57081.63912077417,57420.20099403871,0.9016757653993598,,-57081.66147251862,-37414.6297472274,19667.03172529122,0.0,False,False,False,False,True
raw,ch8,-58788.31411780222,-58658.50998860717,2862.406982045455,-63815.63857980235,-54526.94648825485,,,63356.238705663534,63560.56583649705,-0.15264602205721828,,-63356.25435188465,-54853.63958521361,8502.614766671039,0.0,False,False,False,False,True
centered,ch1,1054.982362828434,0.0,3888.014255856677,-4538.812284328014,8443.192654036597,3564.387984798901,1789.4583093474212,8004.584372590107,8207.117999448537,0.7563022920536929,33.321155939787815,-3814.369894787058,8004.595548462334,11818.965443249392,0.0,False,False,False,False,True
centered,ch2,285.82489605696014,-7.275957614183426e-12,5068.779954887057,-9286.579851696486,11020.8740557282,8995.761304588472,4351.0911585201175,8384.390802310798,8868.820159890673,0.07731968415039102,44.17101396555061,-6578.397790002564,6367.330267111087,12945.72805711365,0.0,False,False,False,False,True
