sample_index,run_time_sec,Channel_1,Channel_3,Channel_4,Channel_6,Channel_7,Channel_8
0,0.0,-17076.263377,-23263.941498,-7129.781798,-53575.388023,-36401.179302,-20165.207406
1,0.004011869430541992,-17059.857197,-23257.325382,-7107.653571,-53573.443422,-36399.167645,-20164.939185
2,0.008023738861083984,0.0,0.0,0.0,0.0,0.0,0.0
3,0.012035608291625977,-2989.858745,-20663.919528,-19512.491764,-56294.924771,-43747.88478,-35325.568655
4,0.01604747772216797,-2981.901524,-20651.357848,-19493.917464,-56292.376672,-43756.825478,-35326.485077
5,0.02005934715270996,-2976.760623,-20638.57265,-19494.945645,-56287.34753,-43759.597094,-35325.948635
6,0.024071216583251953,-2945.088201,-20642.998295,-19489.469467,-56296.623504,-43769.655379,-35325.926283
7,0.028083086013793945,-2923.451713,-20652.050752,-19464.167293,-56299.238658,-43765.140327,-35316.806771
8,0.03209495544433594,-2921.328297,-20647.513348,-19403.571713,-56297.85285,-43772.963437,-35325.255731
9,0.03610682487487793,-2949.17857,-20655.515272,-19366.311355,-56299.976265,-43776.137385,-35333.838801
10,0.04011869430541992,-2978.302893,-20667.562862,-19344.361942,-56297.808146,-43779.91483,-35357.53165
11,0.044130563735961914,-2986.885963,-20663.360734,-19307.123936,-56285.224114,-43790.978943,-35389.293479
12,0.048142433166503906,-2986.729501,-20654.308278,-19267.807218,-56288.867448,-43795.270478,-35387.594746
13,0.0521543025970459,-2999.313533,-20656.409342,-19244.00261,-56296.087062,-43803.808845,-35397.027182
14,0.05616617202758789,-3027.677897,-20663.494845,-19235.464243,-56296.623504,-43800.701952,-35402.793932
15,0.06017804145812988,-3065.452345,-20664.098342,-19221.829679,-56304.468966,-43786.441539,-35399.217653
16,0.06418991088867188,-3065.675863,-20657.92926,-19191.163086,-56275.05407,-43764.089795,-35382.275031
17,0.06820178031921387,-3058.21038,-20660.924394,-19167.850216,-56271.388384,-43751.841039,-35368.774577
18,0.07221364974975586,-3085.479508,-20658.68922,-19166.151484,-56293.315446,-43753.495068,-35366.695865
19,0.07622551918029785,-3117.978945,-20642.193632,-19141.408103,-56299.506879,-43778.774891,-35375.189528
20,0.08023738861083984,-3157.876808,-20630.816594,-19096.548152,-56301.853812,-43801.57367,-35370.763882
21,0.08424925804138184,-3204.681361,-20615.662112,-19037.628953,-56282.47485,-43807.228661,-35348.032158
22,0.08826112747192383,-3264.11465,-20591.365765,-19008.594037,-56257.485599,-43809.396781,-35346.355778
23,0.09227299690246582,-3268.517943,-20579.11701,-18996.278226,-56259.787829,-43833.581368,-35388.220595
