mode,source_name,run_time_sec,wall_time_utc,sample_count,decoded_state,status_text,ground_truth_state,jaw_confidence,jaw_onset_confidence,jaw_active_confidence,jaw_event_label,jaw_hold_active,hand_left_confidence,hand_right_confidence,hand_prediction,hand_margin,hand_agreed,hand_notes,hand_state,hand_ready,hand_enabled,jaw_enabled,stale_stream
REPLAY,Yaniv-LRJ(6)-4:7.csv,0.09227299690246582,2026-04-24T17:34:59.786996+00:00,24,NEUTRAL,hand calibrating (1.9s),UNKNOWN,0.0,0.0,0.0,UNKNOWN,False,0.0,0.0,NEUTRAL,0.0,False,,NEUTRAL,False,True,True,False
REPLAY,Yaniv-LRJ(6)-4:7.csv,0.19256973266601562,2026-04-24T17:34:59.788000+00:00,49,NEUTRAL,hand calibrating (1.8s),UNKNOWN,0.0,0.0,0.0,UNKNOWN,False,0.0,0.0,NEUTRAL,0.0,False,,NEUTRAL,False,True,True,False
REPLAY,Yaniv-LRJ(6)-4:7.csv,0.29286646842956543,2026-04-24T17:34:59.788197+00:00,74,NEUTRAL,hand calibrating (1.7s),UNKNOWN,0.0,0.0,0.0,UNKNOWN,False,0.0,0.0,NEUTRAL,0.0,False,,NEUTRAL,False,True,True,False
REPLAY,Yaniv-LRJ(6)-4:7.csv,0.39316320419311523,2026-04-24T17:34:59.788351+00:00,99,NEUTRAL,hand calibrating (1.6s),UNKNOWN,0.0,0.0,0.0,UNKNOWN,False,0.0,0.0,NEUTRAL,0.0,False,,NEUTRAL,False,True,True,False
REPLAY,Yaniv-LRJ(6)-4:7.csv,0.4934599399566651,2026-04-24T17:34:59.792352+00:00,124,NEUTRAL,hand calibrating (1.5s),UNKNOWN,0.13146450728003567,5.1299303591699824e-08,0.016173540811134965,INACTIVE,False,0.0,0.0,NEUTRAL,0.0,False,,NEUTRAL,False,True,True,False
REPLAY,Yaniv-LRJ(6)-4:7.csv,0.5937566757202148,2026-04-24T17:34:59.794775+00:00,149,NEUTRAL,hand calibrating (1.4s),UNKNOWN,0.27858848439105566,0.058789824404261275,0.25176735589022425,INACTIVE,False,0.0,0.0,NEUTRAL,0.0,False,,NEUTRAL,False,True,True,False
REPLAY,Yaniv-LRJ(6)-4:7.csv,0.6940534114837646,2026-04-24T17:34:59.797048+00:00,174,NEUTRAL,hand calibrating (1.3s),UNKNOWN,0.31178895395532125,0.08093994718054114,0.29110864935466435,INACTIVE,False,0.0,0.0,NEUTRAL,0.0,False,,NEUTRAL,False,True,True,False
REPLAY,Yaniv-LRJ(6)-4:7.csv,0.7943501472473145,2026-04-24T17:34:59.799445+00:00,199,NEUTRAL,hand calibrating (1.2s),UNKNOWN,0.2101683458310828,0.04412900386987951,0.10910714421136718,INACTIVE,False,0.0,0.0,NEUTRAL,0.0,False,,NEUTRAL,False,True,True,False
REPLAY,Yaniv-LRJ(6)-4:7.csv,0.8946468830108643,2026-04-24T17:34:59.801762+00:00,224,NEUTRAL,hand calibrating (1.1s),UNKNOWN,0.24252638676286398,0.05090505919405995,0.16208219667884063,INACTIVE,False,0.0,0.0,NEUTRAL,0.0,False,,NEUTRAL,False,True,True,False
REPLAY,Yaniv-LRJ(6)-4:7.csv,0.9949436187744142,2026-04-24T17:34:59.807131+00:00,249,NEUTRAL,hand calibrating (1.0s),UNKNOWN,0.27523235326653805,0.06330603584772419,0.20759744455357604,INACTIVE,False,0.0,0.0,NEUTRAL,0.0,False,,NEUTRAL,False,True,True,False
