label,raw_label,start_time_sec,end_time_sec,start_sample,end_sample,segment_kind,segment_source
LEFT,LEFT,46.850611209869385,48.42727589607239,11678,12071,interval,lrj_marker_pairs
LEFT,LEFT,52.36291980743408,54.52932929992676,13052,13592,interval,lrj_marker_pairs
LEFT,LEFT,57.847145318984985,60.8199405670166,14419,15160,interval,lrj_marker_pairs
LEFT,LEFT,64.47475361824036,68.5106942653656,16071,17077,interval,lrj_marker_pairs
LEFT,LEFT,73.50547170639038,78.27959632873535,18322,19512,interval,lrj_marker_pairs
LEFT,LEFT,82.80498504638672,87.7997624874115,20640,21885,interval,lrj_marker_pairs
RIGHT,RIGHT,92.05234408378601,93.62098503112793,22945,23336,interval,lrj_marker_pairs
RIGHT,RIGHT,97.29184556007385,99.5224449634552,24251,24807,interval,lrj_marker_pairs
RIGHT,RIGHT,102.99271202087402,105.76491379737854,25672,26363,interval,lrj_marker_pairs
RIGHT,RIGHT,109.09075355529785,112.88197016716003,27192,28137,interval,lrj_marker_pairs
RIGHT,RIGHT,117.2829909324646,122.45027875900269,29234,30522,interval,lrj_marker_pairs
RIGHT,RIGHT,126.54238557815553,133.56716895103455,31542,33293,interval,lrj_marker_pairs
JAW,JAW,138.2530324459076,139.83370900154114,34461,34855,interval,lrj_marker_pairs
JAW,JAW,143.8897089958191,145.9638454914093,35866,36383,interval,lrj_marker_pairs
JAW,JAW,149.4782431125641,152.33870601654053,37259,37972,interval,lrj_marker_pairs
JAW,JAW,156.46691966056824,160.64327573776245,39001,40042,interval,lrj_marker_pairs
JAW,JAW,164.21785140037537,169.15646266937256,40933,42164,interval,lrj_marker_pairs
JAW,JAW,172.45421934127808,177.86221933364868,42986,44334,interval,lrj_marker_pairs
